Article.ID,data column,data,notes,,,,,,,
1,Lead.Author ,Bruna,,,,,,,,
1,Year,2011,,,,,,,,
1,Journal,AJB,,,,,,,,
1,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",plant.physiology,,,,,,,,
1,focal.subject.of.research,plant,,,,,,,,
1,biome,Amazonia,,,,,,,,
1,ecosystem,LTRF,,,,,,,,
1,Country,Brazil,,,,,,,,
1,state,Amazonas,,,,,,,,
1,Municipality,Manaus,,,,,,,,
1,field station,BDFFP,,,,,,,,
1,Latitude,2°30’S,need to convert to WGS84,,,,,,,
1,Longitude,60° W,need to convert to WGS84,,,,,,,
1,habitat.1,forest.Edge,0,,,,,,,
1,habitat.2,forest.interior,500,,,,,,,
1,replicates.habitat.1,1,,,,,,,,
1,replicates.habitat.2,1,,,,,,,,
1,sampling.dist.hab.1,point,"sampling distribution (point, transects, grids)",,,,,,,
1,sampling.dist.hab.2,point,,,,,,,,
1,reps.per.dist.1,1,,,,,,,,
1,reps.per.dist.2,1,,,,,,,,
1,dist.btwn.pts.1,NA,,,,,,,,
1,dist.btwn.pts.2,NA,,,,,,,,
1,layout,fixed.point,,,,,,,,
1,var.1,AT,,,,,,,,
1,var.2,RH,,,,,,,,
1,var.3,SM,,,,,,,,
1,var.4,PPFD,,,,,,,,
1,equp.var.1,datalogger,HOBO Pro Series Automated temperature and humidity Sensor,,,,,,,
1,equp.var.2,datalogger,HOBO Pro Series Automated temperature and humidity Sensor,,,,,,,
1,equp.var.3,datalogger,Onsett Smart Sensor S-SMA-M003,,,,,,,
1,equp.var.4,datalogger,Onsett Smart Sensor S-LIA-M003,,,,,,,
1,start.date,2004-02-01,YYY-MM-DDThh:mm:ss. ,,,,,,,
1,end.date,2006-01-01,YYY-MM-DDThh:mm:ss. ,,,,,,,
1,time.var.1,every.30.min,1 measurement every 30 min,,,,,,,
1,time.var.2,every.30.min,1 measurement every 30 min,,,,,,,
1,time.var.3,every.30.min,30 sec; recorded avg every 30 min,,,,,,,
1,time.var.4,every.30.min,every 30 sec; recorded avg every 30 min,,,,,,,
1,comparisons,ExI,,,,,,,,
1,statistical analysis?,NA,,,,,,,,
1,statistica methods,NA,,,,,,,,
1,significant differences observed (Y/N),NA,,,,,,,,
1,summary of results,edges.2.4°C.degrees.hotter.than.interior,,,,,,,,
1,summary of results,edges.drier.than.interior,,,,,,,,
1,comparisons,soil.drier.at.edge,,,,,,,,
1,data archived? Y/N,Y,,,,,,,,
1,data archive ,Dryad,,,,,,,,
1,accession number,http://dx.doi.org/10.5061/dryad.553hc134  ,,,,,,,,
1,was cited before,None,,,,,,,,
1,citations,2,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
