Article.ID,data column,data,notes,,,,,,,
13,Lead.Author ,Lehtinen,,,,,,,,
13,Year,2003,,,,,,,,
13,Journal,BAC,,,,,,,,
13,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",community.ecology,,,,,,,,
13,focal.subject.of.research,herp,,,,,,,,
13,biome,tropical.rainforest,,,,,,,,
13,ecosystem,littoral.rainforest,,,,,,,,
13,Country,Madagascar,,,,,,,,
13,state,NA,,,,,,,,
13,Municipality.1,Mandena,,,,,,,,
13,Municipality.2,Sainte.Luce,,,,,,,,
13,field station,NA,,,,,,,,
13,Latitude,24°57’S-24°46’S,,,,,,,,
13,Longitude,47°02’E-47°10’E,,,,,,,,
13,habitat.1,fragment.edge,,,,,,,,
13,habitat.2,NA,,,,,,,,
13,replicates.habitat.1,1,,,,,,,,
13,replicates.habitat.2,NA,,,,,,,,
13,sampling.dist.hab.1,transect,,,,,,,,
13,sampling.dist.hab.2,NA,,,,,,,,
13,reps.per.dist.1,5,,,,,,,,
13,reps.per.dist.2,NA,,,,,,,,
13,dist.btwn.pts.1,10m,,,,,,,,
13,dist.btwn.pts.2,NA,,,,,,,,
13,layout,perpendicular,,,,,,,,
13,var.1,AT,,,,,,,,
13,var.2,RH,,,,,,,,
13,var.3,DT,,,,,,,,
13,var.4,WS,,,,,,,,
13,var.5,NA,,,,,,,,
13,equip.var.1,weather.meter,Kestrel.3000.Nielsen-Kellerman.Co,,,,,,,
13,equip.var.2,weather.meter,Kestrel.3000.Nielsen-Kellerman.Co,,,,,,,
13,equip.var.3,weather.meter,Kestrel.3000.Nielsen-Kellerman.Co,,,,,,,
13,equip.var.4,weather.meter,Kestrel.3000.Nielsen-Kellerman.Co,,,,,,,
13,equip.var.5,NA,,,,,,,,
13,start.date,2002-03-01,,,,,,,,
13,end.date,2002-02-17,,,,,,,,
13,time.var.1,every.90s,,,,,,,,
13,time.var.2,every.90s,,,,,,,,
13,time.var.3,every.90s,,,,,,,,
13,time.var.4,every.90s,,,,,,,,
13,time.var.5,NA,,,,,,,,
13,comparisons,edge.effects.decrease.further.into.fragment,,,,,,,,
13,comparisons,seasonal.variation.in.edge.effects,,,,,,,,
13,comparisons,edge.alters.dist.of.herps,,,,,,,,
13,comparisons,abiotic.variables.alters.dist.of.herps,,,,,,,,
13,statistical analysis?,Y,,,,,,,,
13,statistica methods,ANOVA,,,,,,,,
13,statistica methods,Bonferroni.post-hoc.comparison,,,,,,,,
13,statistica methods,NA,,,,,,,,
13,significant differences observed (Y/N),Y,,,,,,,,
13,summary of results,AT.DT.decreased.further.into.fragment,,,,,,,,
13,summary of results,lower.RH.higher.WS.near.edge.but.not.or.barely.significant,,,,,,,,
13,summary of results,NA,,,,,,,,
13,summary of results,NA,,,,,,,,
13,data archived? Y/N,N,,,,,,,,
13,data archive ,NA,,,,,,,,
13,accession number,NA,,,,,,,,
13,was cited before,Y,,,,,,,,
13,citations,60,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
