Article.ID,data column,data,notes,
19,Lead.Author ,Dovciak,,
19,Year,2014,,
19,Journal,NF,new.forests,
19,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",ecophysiology,,
19,focal.subject.of.research,abiotic,,
19,biome,Temperate.Deciduous.Forest,,
19,ecosystem,Hemlock.white.pine.northern.hardwoods,,
19,Country,USA,,
19,state,NY,New.York,
19,Municipality,Syracuse,,
19,field station,HWF,Huntington.Wildlife.Forest,
19,Latitude,43°59'N,,
19,Longitude,74°14'W,,
19,habitat.1,FE,Forest.edge,
19,habitat.2,NA,,
19,replicates.habitat.1,12,,
19,replicates.habitat.2,NA,,
19,sampling.dist.hab1,transect,,
19,sampling.dist.hab2,Na,,
19,points.per.replicate.hab1,9,nine.distance.classes,
19,points.per.replicate.hab2,NA,,
19,dist.btwn.pts.1,variable,5m.10m.20m.30m,
19,dist.btwn.pts.2,NA,,
19,layout,perpendicular,,
19,var.1,AT,,
19,var.2,SM,soil.moisture,
19,var.3,NA,,
19,equip.var.1,datalogger,Thermochron.iButtons.DS1921G.Maxim.Dallas.Semiconductor.Corp.,
19,equip.var.2,Hydrosense.Soil.Water.measurement.system,Hydrosense.Soil.Water.measurement.system.CS620/CD620,
19,equip.var.3,NA,,
19,start.date,NA,mid.july,
19,end.date,NA,mid.august,
19,time.var.1,1.month.period,,
19,time.var.2,6times.during.the.field.season,,
19,time.var.3,NA,,
19,comparisons,Role.of.forest.regrowth.in.mitigating.theinitial.EE.on.microclimate.and.understory.vegetation,,
19,comparisons,Comparison.of.biotic.and.abiotic.features.at.different.distances.from.forest.edge,,
19,comparisons,NA,,
19,statistical analysis?,Y,,
19,statistica methods,ANOVA,Tukey.Kramer.HSD.tests,
19,significant differences observed (Y/N),Y,,
19,summary of results,EEgrad.more.pronounced.in.new.clearcuts.than.in.forest.adjacent,,
19,summary of results,No.EE.on.shade-tolerant.vegetation,,
19,summary of results,shade.tolerant.vegetation.declined.in.mature.forest.near.old.forest.edges.adjacent.to.dense.young.forest,,
19,summary of results,Canopy.opennes.correlated.to.microclimatic.gradients,,
19,summary of results,NA,,
19,data archived? Y/N,N,,
19,data archive ,NA,,
19,accession number,NA,,
19,was cited before,Y,,
19,citations,9,,
