Article.ID,data column,data,notes
25,Lead.Author ,Siqueira,
25,Year,2004,
25,Journal,ETR,
25,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",ecophysiology,
25,focal.subject.of.research,abiotic,
25,biome,Atlantic.rain.forest,
25,ecosystem,Atlantic.forest,
25,Country,Brazil,
25,state,Rio.de.Janeiro,
25,Municipality,Silva.Jardim,
25,field station,National.biological.reserve.of.poços.das.antas,
25,Latitude,22°30'-22°33'S,
25,Longitude,42°15'-42°19'W,
25,habitat.1,Matrix.formed.by.grasses,Fragments.are.scattered
25,habitat.2,NA,
25,replicates.habitat.1,3,
25,replicates.habitat.2,NA,
25,sampling.dist.hab1,transects,two.perpendicular.transects.for.each.fragment
25,sampling.dist.hab2,NA,
25,points.per.replicate.hab1,variable,9.19.22
25,points.per.replicate.hab2,NA,
25,dist.btwn.pts.1,NA,
25,dist.btwn.pts.2,NA,
25,layout,mixed.orientation,
25,var.1,SM,soil.humidity
25,var.2,H,air.humidity
25,var.3,AT,air.temperature
25,var.4,ST,soil.temperature
25,var.5,AF,air.flow
25,equip.var.1,NA,
25,equip.var.2,thermohygrometer,
25,equip.var.3,thermohygrometer,
25,equip.var.4,Soil.thermometer,
25,equip.var.5,digital.anemometer,
25,start.date,NA,
25,end.date,NA,
25,time.var.1,from.10.to.2pm.along.transects,
25,time.var.2,from.10.to.2pm.along.transects,
25,time.var.3,NA,
25,time.var.4,from.10.to.2pm.along.transects,
25,time.var.5,NA,
25,comparisons,Microclimate.variables.could.be.used.to.evaluate.differences.within.forest.fragments,
25,comparisons,Verify.the.presence.of.a.core.area.as.a.guide.to.the.management.proposals.for.small.forest.fragments,
25,comparisons,NA,
25,statistical analysis?,Y,
25,statistica methods,ANOVA,
25,significant differences observed (Y/N),Y,
25,summary of results,Overall.fragments.are.all.different,
25,summary of results,SH.AH.were.higher.in.the.largest.fragments.and.lower.in.the.medium.sized.fragment,
25,summary of results,ST.AT.were.lower.in.the.largest.and.higher.in.the.medium.sized.fragment,
25,summary of results,There.are.microclimate.differences.btw.outer.and.inner.parts.of.fragments,
25,summary of results,Even.for.fragments.of.reduced.size.there.is.a.core.are.where.microclimate.is.less.severe.and.much.more.uniform.than.at.the.edges,
25,data archived? Y/N,N,
25,data archive ,NA,
25,accession number,NA,
25,was cited before,Y,
25,citations,13,
