Article.ID,data column,data,notes,,,,,,,
26,Lead.Author ,Baker,,,,,,,,
26,Year,2016,,,,,,,,
26,Journal,FEM,,,,,,,,
26,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",ecophysiology,,,,,,,,
26,focal.subject.of.research,abiotic,,,,,,,,
26,biome,temperate.rainforest,,,,,,,,
26,ecosystem,temperate.rainforest,,,,,,,,
26,Country,Australia,,,,,,,,
26,state,Tasmania,,,,,,,,
26,Municipality,NA,,,,,,,,
26,field station,NA,,,,,,,,
26,Latitude,42.58°S,,,,,,,,
26,Longitude,146.58°E,,,,,,,,
26,habitat.1,mature.forest,,,,,,,,
26,habitat.2,regenerating.forest,,,,,,,,
26,replicates.habitat.1,6,,,,,,,,
26,replicates.habitat.2,6,,,,,,,,
26,sampling.dist.hab.1,transect,,,,,,,,
26,sampling.dist.hab.2,transect,,,,,,,,
26,reps.per.dist.1,3,,,,,,,,
26,reps.per.dist.2,7,,,,,,,,
26,dist.btwn.pts.1,25m,,,,,,,,
26,dist.btwn.pts.2,10m,,,,,,,,
26,layout,perpendicular,,,,,,,,
26,var.1,AT,,,,,,,,
26,var.2,RH,,,,,,,,
26,var.3,NA,,,,,,,,
26,var.4,NA,,,,,,,,
26,equip.var.1,datalogger,HOBO.pro.v2,,,,,,,
26,equip.var.2,datalogger,HOBO.pro.v3,,,,,,,
26,equip.var.3,NA,,,,,,,,
26,equip.var.4,NA,,,,,,,,
26,start.date,2013-07-01,,,,,,,,
26,end.date,2014-07-01,,,,,,,,
26,time.var.1,every.30.min,,,,,,,,
26,time.var.2,every.30.min,,,,,,,,
26,time.var.3,NA,,,,,,,,
26,time.var.4,NA,,,,,,,,
26,comparisons,Microclimate.of.fragments.similar.as.intact.forest,,,,,,,,
26,comparisons,Temporal.changes.in.microclimate,,,,,,,,
26,comparisons,NA,,,,,,,,
26,statistical analysis?,Y,,,,,,,,
26,statistica methods,ANOVA,,,,,,,,
26,statistica methods,generalized.additive.model,,,,,,,,
26,significant differences observed (Y/N),N,,,,,,,,
26,summary of results,Microclimate.of.fragments.similar.to.intact.forest.but.predawn.humidity.higher.in.fragments,,,,,,,,
26,summary of results,Edge.type.did.not.impact.avg.daily.magnitude.of.forest.influence,,,,,,,,
26,data archived? Y/N,N,,,,,,,,
26,data archive ,NA,,,,,,,,
26,accession number,NA,,,,,,,,
26,was cited before,Y,,,,,,,,
26,citations,5,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
