Article.ID,data column,data,notes,,,,,,,
27,Lead.Author ,Santos-Barrera,,,,,,,,
27,Year,2011,,,,,,,,
27,Journal,RMB,,,,,,,,
27,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",population.ecology,,,,,,,,
27,focal.subject.of.research,herp,,,,,,,,
27,biome,tropical.forest,,,,,,,,
27,ecosystem,tropical.montane.cloud.forest,,,,,,,,
27,Country,Mexico,,,,,,,,
27,state,Guerreo,,,,,,,,
27,Municipality,Atoyac.de.Alvarez,,,,,,,,
27,field station,El.Molote,,,,,,,,
27,Latitude,17°24’50’’.to.17°27’30’’N,,,,,,,,
27,Longitude,100°09’40’’.to.100°12’20’’W,,,,,,,,
27,habitat.1,forest.edge,within.first.20.m.of.forest,,,,,,,
27,habitat.2,forest.interior,beyond.50.m.into.forest,,,,,,,
27,habitat.3,plantation,,,,,,,,
27,replicates.habitat.1,8,pseudoreplication.in.one.fragment,,,,,,,
27,replicates.habitat.2,8,,,,,,,,
27,replicates.habitat.3,8,pseudoreplication.in.one.fragment,,,,,,,
27,sampling.dist.hab.1,transect,0m.10m.20m,,,,,,,
27,sampling.dist.hab.2,transect,50m.100m.150m,,,,,,,
27,sampling.dist.hab.3,transect,-50m.-20m.-10m,,,,,,,
27,reps.per.dist.1,3,,,,,,,,
27,reps.per.dist.2,3,,,,,,,,
27,reps.per.dist.3,3,,,,,,,,
27,dist.btwn.pts.1,10m,,,,,,,,
27,dist.btwn.pts.2,50m,,,,,,,,
27,dist.btwn.pts.3,variable,10m.30m,,,,,,,
27,layout,multiple.perpendicular,,,,,,,,
27,var.1,AT,,,,,,,,
27,var.2,RH,,,,,,,,
27,var.3,NA,,,,,,,,
27,var.4,NA,,,,,,,,
27,equip.var.1,thermohydrometer,,,,,,,,
27,equip.var.2,thermohydrometer,,,,,,,,
27,equip.var.3,NA,,,,,,,,
27,equip.var.4,NA,,,,,,,,
27,start.date,2007-05-01,,,,,,,,
27,end.date,2008-08-01,,,,,,,,
27,time.var.1,2.periods.in.dry.and.wet.seasons,,,,,,,,
27,time.var.2,2.periods.in.dry.and.wet.seasons,,,,,,,,
27,time.var.3,NA,,,,,,,,
27,time.var.4,NA,,,,,,,,
27,comparisons,correlations,,,,,,,,
27,comparisons,correlations,,,,,,,,
27,comparisons,NA,,,,,,,,
27,statistical analysis?,Y,,,,,,,,
27,statistica methods,Pearson.correlation.coefficient,,,,,,,,
27,statistica methods,NA,,,,,,,,
27,significant differences observed (Y/N),Y,,,,,,,,
27,summary of results,Forest.interior.provides.higher.RH.and.canopy.cover,,,,,,,,
27,summary of results,NA,,,,,,,,
27,data archived? Y/N,N,,,,,,,,
27,data archive ,NA,,,,,,,,
27,accession number,NA,,,,,,,,
27,was cited before,Y,,,,,,,,
27,citations,11,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
