Article.ID,data column,data,notes,,,,,,,
34,Lead.Author ,Christianini,,,,,,,,
34,Year,2013,,,,,,,,
34,Journal,API,,,,,,,,
34,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",community.ecology,,,,,,,,
34,focal.subject.of.research,insect,,,,,,,,
34,biome,tropical.savannah,,,,,,,,
34,ecosystem,cerrado,,,,,,,,
34,Country,Brazil,,,,,,,,
34,state,NA,,,,,,,,
34,Municipality,NA,,,,,,,,
34,field station,Itirapina.Experimental.Station,,,,,,,,
34,Latitude,22°12’S,,,,,,,,
34,Longitude,47°51’W,,,,,,,,
34,habitat.1,fragment.edge,,,,,,,,
34,habitat.2,fragment.interior,,,,,,,,
34,habitat.3,fire.break,,,,,,,,
34,replicates.habitat.1,1,,,,,,,,
34,replicates.habitat.2,1,,,,,,,,
34,replicates.habitat.3,1,,,,,,,,
34,sampling.dist.hab.1,transect,,,,,,,,
34,sampling.dist.hab.2,transect,,,,,,,,
34,sampling.dist.hab.3,transect,,,,,,,,
34,reps.per.dist.1,10,,,,,,,,
34,reps.per.dist.2,10,,,,,,,,
34,reps.per.dist.3,1,,,,,,,,
34,dist.btwn.pts.1,random,,,,,,,,
34,dist.btwn.pts.2,random,,,,,,,,
34,dist.btwn.pts.3,NA,,,,,,,,
34,layout,multiple.perpendicular,,,,,,,,
34,var.1,AT,,,,,,,,
34,var.2,RH,,,,,,,,
34,var.3,VPD,,,,,,,,
34,equip.var.1,digital.thermometer,,,,,,,,
34,equip.var.2,digital.thermometer,,,,,,,,
34,equip.var.3,NA,calculated.from.AT.and.RH,,,,,,,
34,start.date,2006-08-01,,,,,,,,
34,end.date,2006-08-31,,,,,,,,
34,time.var.1,random,,,,,,,,
34,time.var.2,random,,,,,,,,
34,time.var.3,NA,,,,,,,,
34,comparisons,abiotic.variables.different.between.edge.and.interior,,,,,,,,
34,comparisons,NA,,,,,,,,
34,statistical analysis?,Y,,,,,,,,
34,statistica methods,ANOVA,,,,,,,,
34,statistica methods,NA,,,,,,,,
34,significant differences observed (Y/N),Y,,,,,,,,
34,summary of results,significant.correlations.among.all.abiotic.variables,,,,,,,,
34,summary of results,gradient.of.AT.decrease.and.RH.increase,,,,,,,,
34,summary of results,with.Bonferroni.correction.only.RH.significantly.higher,,,,,,,,
34,summary of results,NA,,,,,,,,
34,data archived? Y/N,N,,,,,,,,
34,data archive ,NA,,,,,,,,
34,accession number,NA,,,,,,,,
34,was cited before,Y,,,,,,,,
34,citations,9,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
