Article.ID,data column,data,notes,,,,,,,
37,Lead.Author ,Davies-Colley,,,,,,,,
37,Year,2000,,,,,,,,
37,Journal,NJE,,,,,,,,
37,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",ecophysiology,,,,,,,,
37,focal.subject.of.research,abiotic,,,,,,,,
37,biome,tropical.rainforest,,,,,,,,
37,ecosystem,broadleaf.rainforest,,,,,,,,
37,Country,New.Zealand,,,,,,,,
37,state,NA,,,,,,,,
37,Municipality,NA,,,,,,,,
37,field station,Kawhia.Ecological.District,,,,,,,,
37,Latitude,38°03’S,,,,,,,,
37,Longitude,175°04’E,,,,,,,,
37,habitat.1,forest.edge,,,,,,,,
37,habitat.2,forest.interior,,,,,,,,
37,habitat.3,pasture,,,,,,,,
37,replicates.habitat.1,1,,,,,,,,
37,replicates.habitat.2,1,,,,,,,,
37,replicates.habitat.3,1,,,,,,,,
37,sampling.dist.hab.1,transect,,,,,,,,
37,sampling.dist.hab.2,point,,,,,,,,
37,sampling.dist.hab.3,point,,,,,,,,
37,reps.per.dist.1,1,,,,,,,,
37,reps.per.dist.2,1,,,,,,,,
37,reps.per.dist.3,5,,,,,,,,
37,dist.btwn.pts.1,NA,,,,,,,,
37,dist.btwn.pts.2,NA,,,,,,,,
37,dist.btwn.pts.3,variable,5m.10m.20m.40m.80m.from.edge,,,,,,,
37,layout,perpendicular,,,,,,,,
37,var.1,PAR,,,,,,,,
37,var.2,WS,,,,,,,,
37,var.3,AT,,,,,,,,
37,var.4,RH,,,,,,,,
37,var.5,VPD,,,,,,,,
37,var.6,ST,,,,,,,,
37,equip.var.1,datalogger,LI-192SA.LI-COR.Inc,,,,,,,
37,equip.var.2,cup.anemometer,101M.Vector.Instruments.and.Maximum.type40.NRG.Systems,,,,,,,
37,equip.var.3,datalogger,Vaisala.Humitter.50Y.Vaisala.Oyj,,,,,,,
37,equip.var.4,datalogger,Vaisala.Humitter.50Y.Vaisala.Oyj,,,,,,,
37,equip.var.5,NA,RH.and.AT,,,,,,,
37,equip.var.6,thermistor.probe,LI-1000-15.LI-COR.Inc,,,,,,,
37,start.date.1,1996-08-10,,,,,,,,
37,end.date.1,1996-09-04,,,,,,,,
37,start.date.2,1997-02-12,,,,,,,,
37,end.date.2,1997-03-08,,,,,,,,
37,time.var.1,every.5.seconds,avg.every.5.min,,,,,,,
37,time.var.2,every.5.seconds,avg.every.5.min,,,,,,,
37,time.var.3,every.5.seconds,avg.every.5.min,,,,,,,
37,time.var.4,every.5.seconds,avg.every.5.min,,,,,,,
37,time.var.5,NA,,,,,,,,
37,time.var.6,every.5.seconds,avg.every.5.min,,,,,,,
37,comparisons,microclimate.variables.between.forest.and.pasture,,,,,,,,
37,comparisons,microclimate.variables.along.single.transect,,,,,,,,
37,statistical analysis?,Y,,,,,,,,
37,statistica methods,NA,nonparametric.tests,,,,,,,
37,statistica methods,NA,,,,,,,,
37,significant differences observed (Y/N),Y,,,,,,,,
37,summary of results,much.less.light.and.wind.in.forest,,,,,,,,
37,summary of results,more.variation.in.AT.VPD.when.sunny.than.cloudy,,,,,,,,
37,summary of results,higher.RH.lower.AT.in.forest.during.day,,,,,,,,
37,data archived? Y/N,N,,,,,,,,
37,data archive ,NA,,,,,,,,
37,accession number,NA,,,,,,,,
37,was cited before,Y,,,,,,,,
37,citations,126,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
