Article.ID,data column,data,notes,,,,,,,
40,Lead.Author ,Dilrukshi,,,,,,,,
40,Year,2016,,,,,,,,
40,Journal,JSL,,,,,,,,
40,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",community.ecology,,,,,,,,
40,focal.subject.of.research,plant,,,,,,,,
40,biome,tropical.forest,,,,,,,,
40,ecosystem,NA,,,,,,,,
40,Country,Sri.Lanka,,,,,,,,
40,state,Western.Province,,,,,,,,
40,Municipality,Colombo,,,,,,,,
40,field station,Kirigala.forest,,,,,,,,
40,Latitude,06°46’N,,,,,,,,
40,Longitude,80°8’E,,,,,,,,
40,habitat.1,fragment.edge,,,,,,,,
40,habitat.2,fragment.interior,,,,,,,,
40,habitat.3,NA,,,,,,,,
40,replicates.habitat.1,3,,,,,,,,
40,replicates.habitat.2,3,,,,,,,,
40,replicates.habitat.3,NA,,,,,,,,
40,sampling.dist.hab.1,point,,,,,,,,
40,sampling.dist.hab.2,point,,,,,,,,
40,sampling.dist.hab.3,NA,,,,,,,,
40,reps.per.dist.1,1,,,,,,,,
40,reps.per.dist.2,1,,,,,,,,
40,reps.per.dist.3,NA,,,,,,,,
40,dist.btwn.pts.1,NA,,,,,,,,
40,dist.btwn.pts.2,NA,,,,,,,,
40,dist.btwn.pts.3,NA,,,,,,,,
40,layout,fixed.plot,,,,,,,,
40,var.1,AT,,,,,,,,
40,var.2,LIT,,,,,,,,
40,var.3,RH,,,,,,,,
40,var.4,SM,,,,,,,,
40,equip.var.1,mercury.thermometer,,,,,,,,
40,equip.var.2,lux.meter,KIMO-2000,,,,,,,
40,equip.var.3,hygrometer,Elitech.DT-3,,,,,,,
40,equip.var.4,oven.drying,,,,,,,,
40,start.date,NA,,,,,,,,
40,end.date,NA,,,,,,,,
40,time.var.1,once.per.month,,,,,,,,
40,time.var.2,once.per.month,,,,,,,,
40,time.var.3,once.per.month,,,,,,,,
40,time.var.4,once.per.month,,,,,,,,
40,comparisons,changes.in.microclimate.from.edge.to.interior,,,,,,,,
40,comparisons,NA,,,,,,,,
40,comparisons,NA,,,,,,,,
40,statistical analysis?,Y,,,,,,,,
40,statistica methods,T.test,,,,,,,,
40,statistica methods,cluster.analysis,,,,,,,,
40,significant differences observed (Y/N),Y,,,,,,,,
40,summary of results,SM.RH.higher.in.interior,,,,,,,,
40,summary of results,AT.LIT.high.at.edge,,,,,,,,
40,summary of results,NA,,,,,,,,
40,data archived? Y/N,N,,,,,,,,
40,data archive ,NA,,,,,,,,
40,accession number,NA,,,,,,,,
40,was cited before,N,,,,,,,,
40,citations,NA,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
