Article.ID,data column,data,notes,,,,,,,
41,Lead.Author ,Dodonov,,,,,,,,
41,Year,2013,,,,,,,,
41,Journal,PE,,,,,,,,
41,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",ecophysiology,,,,,,,,
41,focal.subject.of.research,plant,,,,,,,,
41,biome,tropical.savannah,,,,,,,,
41,ecosystem,cerrado,,,,,,,,
41,Country,Brazil,,,,,,,,
41,state,SP,Sao.Paulo,,,,,,,
41,Municipality,NA,,,,,,,,
41,field station,NA,,,,,,,,
41,Latitude,NA,,,,,,,,
41,Longitude,NA,,,,,,,,
41,habitat.1,savannah,,,,,,,,
41,habitat.2,forest.edge,,,,,,,,
41,habitat.3,NA,,,,,,,,
41,replicates.habitat.1,3,,,,,,,,
41,replicates.habitat.2,11,,,,,,,,
41,replicates.habitat.3,NA,,,,,,,,
41,sampling.dist.hab.1,transect,,,,,,,,
41,sampling.dist.hab.2,transect,,,,,,,,
41,sampling.dist.hab.3,NA,,,,,,,,
41,reps.per.dist.1,15,,,,,,,,
41,reps.per.dist.2,15,,,,,,,,
41,reps.per.dist.3,NA,,,,,,,,
41,dist.btwn.pts.1,variable,0m.2m.5m.10m.15m.20m.30m.40m.50m.60m.80m.100m.120m.150m.180m,,,,,,,
41,dist.btwn.pts.2,variable,0m.2m.5m.10m.15m.20m.30m.40m.50m.60m.80m.100m.120m.150m.180m,,,,,,,
41,dist.btwn.pts.3,NA,,,,,,,,
41,layout,multiple.perpendicular,,,,,,,,
41,var.1,AT,,,,,,,,
41,var.2,H,RH?,,,,,,,
41,var.3,NA,,,,,,,,
41,equip.var.1,hygro-thermo-anemometer,Instrutherm.THAL300,,,,,,,
41,equip.var.2,hygro-thermo-anemometer,Instrutherm.THAL301,,,,,,,
41,equip.var.3,NA,,,,,,,,
41,start.date,2009-11-01,,,,,,,,
41,end.date,2010-11-30,,,,,,,,
41,time.var.1,NA,,,,,,,,
41,time.var.2,NA,,,,,,,,
41,time.var.3,NA,,,,,,,,
41,comparisons,differences.in.patterns.of.EI.between.savannah.and.forest.edges,,,,,,,,
41,comparisons,NA,,,,,,,,
41,comparisons,NA,,,,,,,,
41,statistical analysis?,Y,,,,,,,,
41,statistica methods,Randomization.Test,,,,,,,,
41,statistica methods,logistic.regression,,,,,,,,
41,significant differences observed (Y/N),Y,,,,,,,,
41,summary of results,higher.H.at.most.fragments.but.AT.variable,,,,,,,,
41,summary of results,15-60m.depth.of.edge.influence.for.microclimate,,,,,,,,
41,summary of results,changes.in.canopy.cover.not.always.accompanied.by.microclimate.change,,,,,,,,
41,data archived? Y/N,N,,,,,,,,
41,data archive ,NA,,,,,,,,
41,accession number,NA,,,,,,,,
41,was cited before,Y,,,,,,,,
41,citations,13,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
