Article.ID,data column,data,notes,,,,,,,
42,Lead.Author ,Draaijers,,,,,,,,
42,Year,1994,,,,,,,,
42,Journal,BLM,,,,,,,,
42,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",ecosystem.ecology,,,,,,,,
42,focal.subject.of.research,abiotic,,,,,,,,
42,biome,temperate.broadleaf.forest,,,,,,,,
42,ecosystem,NA,,,,,,,,
42,Country,Netherlands,,,,,,,,
42,state,NA,,,,,,,,
42,Municipality,Utrechts.Heuvelrug,,,,,,,,
42,field station,NA,,,,,,,,
42,Latitude,NA,,,,,,,,
42,Longitude,NA,,,,,,,,
42,habitat.1,forest.edge,,,,,,,,
42,habitat.2,NA,,,,,,,,
42,habitat.3,NA,,,,,,,,
42,replicates.habitat.1,8,,,,,,,,
42,replicates.habitat.2,NA,,,,,,,,
42,replicates.habitat.3,NA,,,,,,,,
42,sampling.dist.hab.1,transect,,,,,,,,
42,sampling.dist.hab.2,NA,,,,,,,,
42,sampling.dist.hab.3,NA,,,,,,,,
42,reps.per.dist.1,8,,,,,,,,
42,reps.per.dist.2,NA,,,,,,,,
42,reps.per.dist.3,NA,,,,,,,,
42,dist.btwn.pts.1,variable,5m.10m.20m.30m.40m.60m.80m.150m,,,,,,,
42,dist.btwn.pts.2,NA,,,,,,,,
42,dist.btwn.pts.3,NA,,,,,,,,
42,layout,perpendicular,,,,,,,,
42,var.1,TP,,,,,,,,
42,var.2,PT,,,,,,,,
42,var.3,NA,,,,,,,,
42,equip.var.1,throughfall.gutter,,,,,,,,
42,equip.var.2,funnel,,,,,,,,
42,equip.var.3,NA,,,,,,,,
42,start.date.1,1989-09-01,,,,,,,,
42,end.date.1,1990-09-30,,,,,,,,
42,start.date.2,1990-10-01,,,,,,,,
42,end.date.2,1991-10-31,,,,,,,,
42,time.var.1,NA,,,,,,,,
42,time.var.2,NA,,,,,,,,
42,time.var.3,NA,,,,,,,,
42,comparisons,precipitation.as.a.function.of.distance.from.edge,,,,,,,,
42,comparisons,NA,,,,,,,,
42,comparisons,NA,,,,,,,,
42,statistical analysis?,NA,,,,,,,,
42,statistica methods,NA,,,,,,,,
42,statistica methods,NA,,,,,,,,
42,significant differences observed (Y/N),Y,,,,,,,,
42,summary of results,exponential.increase.of.throughfall.flux.with.decreasing.distance.to.edge,,,,,,,,
42,summary of results,NA,,,,,,,,
42,summary of results,NA,,,,,,,,
42,data archived? Y/N,N,,,,,,,,
42,data archive ,NA,,,,,,,,
42,accession number,NA,,,,,,,,
42,was cited before,Y,,,,,,,,
42,citations,30,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
