Article.ID,data column,data,notes,,,,,,,
45,Lead.Author ,Heithecker,,,,,,,,
45,Year,2007,,,,,,,,
45,Journal,FEM,,,,,,,,
45,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",ecophysiology,,,,,,,,
45,focal.subject.of.research,abiotic,,,,,,,,
45,biome,temperate.coniferous.forest,,,,,,,,
45,ecosystem,Douglas.fir.forest,,,,,,,,
45,Country,United.States,,,,,,,,
45,state,Washington,,,,,,,,
45,Municipality.1,Butte,,,,,,,,
45,Municipality.2,Paradise.Hills,,,,,,,,
45,Municipality.3,Little.White.Salmon,,,,,,,,
45,field station,NA,,,,,,,,
45,Latitude,NA,,,,,,,,
45,Longitude,NA,,,,,,,,
45,habitat.1,undisturbed.fragment,,,,,,,,
45,habitat.2,forest.aggregate,,,,,,,,
45,habitat.3,matrix,,,,,,,,
45,replicates.habitat.1,3,,,,,,,,
45,replicates.habitat.2,6,,,,,,,,
45,replicates.habitat.3,3,,,,,,,,
45,sampling.dist.hab.1,transect,,,,,,,,
45,sampling.dist.hab.2,transect,,,,,,,,
45,sampling.dist.hab.3,transect,,,,,,,,
45,reps.per.dist.1,8,,,,,,,,
45,reps.per.dist.2,8,,,,,,,,
45,reps.per.dist.3,7,,,,,,,,
45,dist.btwn.pts.1,variable,0m.5m.10m.15m.20m.30m.40m.56point4m,,,,,,,
45,dist.btwn.pts.2,variable,0m.5m.10m.15m.20m.30m.40m.56point4m,,,,,,,
45,dist.btwn.pts.3,variable,-5m.-10m.-15m.-20m.-30m.-40m.-63m,,,,,,,
45,layout,mixed.orientation,,,,,,,,
45,var.1,PPFD,,,,,,,,
45,var.2,AT,,,,,,,,
45,var.3,ST,,,,,,,,
45,var.4,SM,,,,,,,,
45,equip.var.1,photographs,Nikon.Coolpix.990,,,,,,,
45,equip.var.2,datalogger,iButton.thermochron,,,,,,,
45,equip.var.3,datalogger,iButton.thermochron,,,,,,,
45,equip.var.4,time.domain.reflectometry,,,,,,,,
45,start.date,2004-06-01,,,,,,,,
45,end.date,2004-11-30,,,,,,,,
45,time.var.1,once.per.site,,,,,,,,
45,time.var.2,hourly,,,,,,,,
45,time.var.3,hourly,,,,,,,,
45,time.var.4,NA,,,,,,,,
45,comparisons,microclimate.variance.at.edges,,,,,,,,
45,comparisons,changes.from.undisturbed.to.aggregates.to.deforested.area,,,,,,,,
45,comparisons,differences.between.N/E.and.S/W.edges,,,,,,,,
45,statistical analysis?,N,,,,,,,,
45,statistica methods,NA,,,,,,,,
45,statistica methods,NA,,,,,,,,
45,statistica methods,NA,,,,,,,,
45,significant differences observed (Y/N),Y,,,,,,,,
45,summary of results,PPFD.declined.steeply.in.aggregates.to.reflect.controls.at.15m,,,,,,,,
45,summary of results,temp.less.steep.decline.than.PPFD.to.stabilize.at.N/E.edges.within.20m,,,,,,,,
45,summary of results,S/W.edges.higher.ST.AT,,,,,,,,
45,summary of results,SM.no.apparent.gradient.across.edge,,,,,,,,
45,data archived? Y/N,N,,,,,,,,
45,data archive ,NA,,,,,,,,
45,accession number,NA,,,,,,,,
45,was cited before,Y,,,,,,,,
45,citations,56,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
