Article.ID,data column,data,notes,,,,,,,
46,Lead.Author ,Hennenberg,,,,,,,,
46,Year,2008,,,,,,,,
46,Journal,BAE,,,,,,,,
46,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",ecophysiology,,,,,,,,
46,focal.subject.of.research,abiotic,,,,,,,,
46,biome.1,tropical.savanna,,,,,,,,
46,biome.2,tropical.forest,,,,,,,,
46,ecosystem,NA,,,,,,,,
46,Country,Cote.D'ivore,,,,,,,,
46,state,NA,,,,,,,,
46,Municipality,Comoe.National.Park,,,,,,,,
46,field station,NA,,,,,,,,
46,Latitude,8°44’–8°41’ N,,,,,,,,
46,Longitude,3°51’–3°47’ W,,,,,,,,
46,habitat.1,closed.forest,,,,,,,,
46,habitat.2,forest.belt,,,,,,,,
46,habitat.3,savanna,,,,,,,,
46,replicates.habitat.1,7,,,,,,,,
46,replicates.habitat.2,7,,,,,,,,
46,replicates.habitat.3,7,,,,,,,,
46,sampling.dist.hab.1,transect,,,,,,,,
46,sampling.dist.hab.2,transect,,,,,,,,
46,sampling.dist.hab.3,transect,,,,,,,,
46,reps.per.dist.1,variable,10.or.20,,,,,,,
46,reps.per.dist.2,variable,10.or.21,,,,,,,
46,reps.per.dist.3,variable,10.or.22,,,,,,,
46,dist.btwn.pts.1,NA,,,,,,,,
46,dist.btwn.pts.2,NA,,,,,,,,
46,dist.btwn.pts.3,NA,,,,,,,,
46,layout,perpendicular,,,,,,,,
46,var.1,AT,,,,,,,,
46,var.2,RH,,,,,,,,
46,var.3,VPD,,,,,,,,
46,var.4,NA,,,,,,,,
46,equip.var.1,datalogger,Tinytag.Plus.TGP-1500.Gemini.Data.Loggers,,,,,,,
46,equip.var.2,datalogger,Tinytag.Plus.TGP-1500.Gemini.Data.Loggers,,,,,,,
46,equip.var.3,AT.and.RH,,,,,,,,
46,equip.var.4,NA,,,,,,,,
46,start.date,2002-02-08,,,,,,,,
46,end.date,2002-09-04,,,,,,,,
46,time.var.1,10min,,,,,,,,
46,time.var.2,10min,,,,,,,,
46,time.var.3,NA,,,,,,,,
46,time.var.4,NA,,,,,,,,
46,comparisons,changes.in.microclimate.from.savanna.to.closed.forest,,,,,,,,
46,comparisons,differences.between.rainy.and.dry.season,,,,,,,,
46,comparisons,NA,,,,,,,,
46,statistical analysis?,Y,,,,,,,,
46,statistica methods,nonlinear.regression,,,,,,,,
46,statistica methods,border.and.ecotone.detection.analysis,,,,,,,,
46,statistica methods,NA,,,,,,,,
46,significant differences observed (Y/N),Y,,,,,,,,
46,summary of results,during.rainy.season.all.microclimate.parameters.more.sharply.different.between.forest.and.savanna,,,,,,,,
46,summary of results,location.of.microclimate.border.shifted.over.year.closer.to.forest.interior.in.dry.season,,,,,,,,
46,summary of results,savanna.and.forest.not.significantly.different.during.dry.season,,,,,,,,
46,summary of results,NA,,,,,,,,
46,data archived? Y/N,N,,,,,,,,
46,data archive ,NA,,,,,,,,
46,accession number,NA,,,,,,,,
46,was cited before,Y,,,,,,,,
46,citations,16,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
