Article.ID,data column,data,notes,,,,,,,
49,Lead.Author ,MacDougall,,,,,,,,
49,Year,1992,,,,,,,,
49,Journal,JB,,,,,,,,
49,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",community ecology,,,,,,,,
49,focal.subject.of.research,plant,,,,,,,,
49,biome,tropical.riparian.forest,,,,,,,,
49,ecosystem,orchard.pine.savanna,,,,,,,,
49,Country,Belize,,,,,,,,
49,state,NA,,,,,,,,
49,Municipality,Mountain.Pine.Ridge,,,,,,,,
49,field station,NA,,,,,,,,
49,Latitude,17°N,,,,,,,,
49,Longitude,89°W,,,,,,,,
49,habitat.1,inside.fragment,,,,,,,,
49,habitat.2,savanna,,,,,,,,
49,replicates.habitat.1,3,,,,,,,,
49,replicates.habitat.2,3,,,,,,,,
49,sampling.dist.hab.1,plots.and.transects,,,,,,,,
49,sampling.dist.hab.2,point,,,,,,,,
49,reps.per.dist.1,variable,,,,,,,,
49,reps.per.dist.2,1,,,,,,,,
49,dist.btwn.pts.1,variable,,,,,,,,
49,dist.btwn.pts.2,variable,3m.or.4m.to.random,,,,,,,
49,layout,random.plot,,,,,,,,
49,var.1,PAR,,,,,,,,
49,var.2,LIT,,,,,,,,
49,var.3,NA,,,,,,,,
49,var.4,NA,,,,,,,,
49,equip.var.1,datalogger,LICOR.LI-1000,,,,,,,
49,equip.var.2,ozalid.paper.technique,,,,,,,,
49,equip.var.3,NA,,,,,,,,
49,equip.var.4,NA,,,,,,,,
49,start.date,NA,,,,,,,,
49,end.date,NA,,,,,,,,
49,time.var.1,NA,,,,,,,,
49,time.var.2,NA,,,,,,,,
49,time.var.3,NA,,,,,,,,
49,time.var.4,NA,,,,,,,,
49,comparisons,changes.in.light.with.distance.from.edge,,,,,,,,
49,comparisons,changes.in.light.from.savanna.to.fragment.interior,,,,,,,,
49,comparisons,NA,,,,,,,,
49,statistical analysis?,Y,,,,,,,,
49,statistica methods,frequency.distribution,,,,,,,,
49,statistica methods,NA,,,,,,,,
49,statistica methods,NA,,,,,,,,
49,significant differences observed (Y/N),Y,,,,,,,,
49,summary of results,estimate.of.LIT.change.penetration.ranged.from.7m.to.11point5m,,,,,,,,
49,summary of results,LIT.highest.at.edge.decreased.to.interior,,,,,,,,
49,summary of results,NA,,,,,,,,
49,summary of results,NA,,,,,,,,
49,data archived? Y/N,N,,,,,,,,
49,data archive ,NA,,,,,,,,
49,accession number,NA,,,,,,,,
49,was cited before,Y,,,,,,,,
49,citations,45,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
