Article.ID,data column,data,notes,
5,Lead.Author ,Moraes,,
5,Year,2015,,
5,Journal,ISB,,
5,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",community.ecology,,
5,focal.subject.of.research,plant,,
5,biome,Atlantic.Forest,,
5,ecosystem,Semi.deciduous.seasonal.forest,,
5,Country,Brazil,,
5,state,Sao.Paulo,,
5,Municipality,Araras,,
5,field station,Nova.Santa.Cruz.farm,,
5,Latitude,22°16’3.68''S,,
5,Longitude,47°19’22.29''W,,
5,habitat.1,Forest.Edge,30m.from.the.edge,
5,habitat.2,Forest.interior,100m.from.the.edge,
5,replicates.habitat.1,20,,
5,replicates.habitat.2,20,,
5,sampling.dist.hab1,random,,
5,sampling.dist.hab2,random,,
5,reps.per.dist.1,5,5.different.points.in.each.parcel,
5,reps.per.dist.2,5,5.different.points.in.each.parcel,
5,dist.btwn.pts.1,random,,
5,dist.btwn.pts.2,random,,
5,layout,random.points,,
5,var.1,AT,air.temperature,
5,var.2,RH,relative.air.humidity,
5,var.3,LI,light.intensity,
5,equip.var.1,thermohygrometer,Termohigrometer.Instrutemp.model.ITHT.2200,
5,equip.var.2,thermohygrometer,Termohigrometer.Instrutemp.model.ITHT.2201,
5,equip.var.3,lux.meter,Luximeter.Instrutherm.LD.300,
5,start.date,2010-02-01,YYY-MM,
5,end.date,2010-02-28,YYY-MM,
5,time.var.1,NA,,
5,time.var.2,NA,,
5,time.var.3,NA,,
5,comparisons,diversity.of.orchids.EdgeXdiversity.of.orchids.interior,,
5,statistical analysis?,NA,,
5,statistica methods,NA,,
5,significant differences observed (Y/N),N,,
5,summary of results,Edge.has.more.species.of.orchids.more.luminosity,,
5,summary of results,Although.the.study.area.has.fewer.orchid.species.than.other.fragments,,
5,summary of results,EE.changes.the.abundance.of.species,,
5,summary of results,availability.of.light.is.the.most.influent.factor.for.orchids.abundance,,
5,summary of results,diversity.of.orchids.is.lower.at.the.fragment.interior,,
5,data archived? Y/N,N,,
5,data archive ,N,,
5,accession number,NA,,
5,was cited before,N,,
5,citations,0,,
