Article.ID,data column,data,notes,,,,,,,
52,Lead.Author ,Mendonca,,,,,,,,
52,Year,2015,,,,,,,,
52,Journal,PED,,,,,,,,
52,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",ecophysiology,,,,,,,,
51,focal.subject.of.research,plant,,,,,,,,
52,biome,cerrado,tropical.savanna,,,,,,,
52,ecosystem,cerrado,,,,,,,,
52,Country,Brazil,,,,,,,,
52,state,Sao.Paulo,,,,,,,,
52,Municipality,Iaras,,,,,,,,
52,field station,NA,,,,,,,,
52,Latitude,22°48′ S,,,,,,,,
52,Longitude,49°02′ W,,,,,,,,
52,habitat.1,savanna.fragment,,,,,,,,
52,habitat.2,pasture,,,,,,,,
52,replicates.habitat.1,1,,,,,,,,
52,replicates.habitat.2,1,,,,,,,,
52,sampling.dist.hab.1,transect,,,,,,,,
52,sampling.dist.hab.2,point,,,,,,,,
52,reps.per.dist.1,5,,,,,,,,
52,reps.per.dist.2,1,,,,,,,,
52,dist.btwn.pts.1,various,0m.10m.20m.40m.80m,,,,,,,
52,dist.btwn.pts.2,NA,,,,,,,,
52,layout,multiple.parallel,,,,,,,,
52,var.1,AT,,,,,,,,
52,var.2,RH,,,,,,,,
52,var.3,PAR,,,,,,,,
52,var.4,NA,,,,,,,,
52,equip.var.1,thermohygrometer,EL-USB3.LASCAR.Electronics,,,,,,,
52,equip.var.2,thermohygrometer,EL-USB3.LASCAR.Electronics,,,,,,,
52,equip.var.3,digital.photonflux,LI-250A.LICOR,,,,,,,
52,equip.var.4,NA,,,,,,,,
52,start.date,NA,,,,,,,,
52,end.date,NA,,,,,,,,
52,time.var.1,once.per.hour,,,,,,,,
52,time.var.2,once.per.hour,,,,,,,,
52,time.var.3,once,,,,,,,,
52,time.var.4,NA,,,,,,,,
52,comparisons,microclimate.changes.from.edge.to.interior,,,,,,,,
52,comparisons,microclimate.comparing.forest.to.savanna,,,,,,,,
52,comparisons,edge.and.microclimate.effects.on.vegetation,,,,,,,,
52,statistical analysis?,Y,,,,,,,,
52,statistica methods,generalized.addititve.models,,,,,,,,
52,statistica methods,NA,,,,,,,,
52,statistica methods,NA,,,,,,,,
52,significant differences observed (Y/N),Y,,,,,,,,
52,summary of results,very.little.to.no.variation.in.variables.with.distance.into.cerrado,,,,,,,,
52,summary of results,PAR.twice.as.high.in.matrix.as.cerrado,,,,,,,,
52,summary of results,min.RH.in.rainy.season.and.max.RH.in.dry.season.weakly.related.to.distance,,,,,,,,
52,summary of results,NA,,,,,,,,
52,data archived? Y/N,N,,,,,,,,
52,data archive ,NA,,,,,,,,
52,accession number,NA,,,,,,,,
52,was cited before,Y,,,,,,,,
52,citations,3,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
