Article.ID,data column,data,notes,,,,,,,
53,Lead.Author ,Nascimento,,,,,,,,
53,Year,2010,,,,,,,,
53,Journal,SF,,,,,,,,
53,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",ecophysiology,,,,,,,,
53,focal.subject.of.research,abiotic,,,,,,,,
53,biome,subtropical.deciduous.forest,,,,,,,,
53,ecosystem,NA,,,,,,,,
53,Country,Brazil,,,,,,,,
53,state,Sao.Paulo,,,,,,,,
53,Municipality,Capao.Bonito,,,,,,,,
53,field station,Fazenda.Santa.Ines,,,,,,,,
53,Latitude,"23°51’78""S",,,,,,,,
53,Longitude,"48°21’44""W",,,,,,,,
53,habitat.1,forest.fragment,,,,,,,,
53,habitat.2,eucalypt.forest.fragment,,,,,,,,
53,habitat.3,eucalypt.farm,,,,,,,,
53,replicates.habitat.1,1,,,,,,,,
53,replicates.habitat.2,1,,,,,,,,
53,replicates.habitat.3,1,,,,,,,,
53,sampling.dist.hab.1,transect,,,,,,,,
53,sampling.dist.hab.2,transect,,,,,,,,
53,sampling.dist.hab.3,transect,,,,,,,,
53,reps.per.dist.1,4,,,,,,,,
53,reps.per.dist.2,4,,,,,,,,
53,reps.per.dist.3,3,,,,,,,,
53,dist.btwn.pts.1,10m,,,,,,,,
53,dist.btwn.pts.2,10m,,,,,,,,
53,dist.btwn.pts.3,10m,,,,,,,,
53,layout,perpendicular,,,,,,,,
53,var.1,PPFD,,,,,,,,
53,var.2,AT,,,,,,,,
53,var.3,RH,,,,,,,,
53,var.4,NA,,,,,,,,
53,equip.var.1,NA,Quantum.Meters,,,,,,,
53,equip.var.2,thermohydrometer,hygrotherm,,,,,,,
53,equip.var.3,thermohydrometer,hygrotherm,,,,,,,
53,equip.var.4,NA,,,,,,,,
53,start.date,2006-09-01,,,,,,,,
53,end.date,NA,,,,,,,,
53,time.var.1,five.times.during.study,,,,,,,,
53,time.var.2,once.per.month,,,,,,,,
53,time.var.3,once.per.month,,,,,,,,
53,time.var.4,NA,,,,,,,,
53,comparisons,edge.effect.from.eucalyptus.farm,,,,,,,,
53,comparisons,buffering.of.edge.effect.by.eucalypt.barrier,,,,,,,,
53,comparisons,NA,,,,,,,,
53,statistical analysis?,Y,,,,,,,,
53,statistica methods,Tukey.HSD,,,,,,,,
53,statistica methods,NA,,,,,,,,
53,statistica methods,NA,,,,,,,,
53,significant differences observed (Y/N),Y,,,,,,,,
53,summary of results,PPFD.AT.lower.RH.more.normal.with.eucalypt.border,,,,,,,,
53,summary of results,PPFD.higher.outside.fragment,,,,,,,,
53,summary of results,NA,,,,,,,,
53,summary of results,NA,,,,,,,,
53,data archived? Y/N,N,,,,,,,,
53,data archive ,NA,,,,,,,,
53,accession number,NA,,,,,,,,
53,was cited before,Y,,,,,,,,
53,citations,1,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
