Article.ID,data column,data,notes,,,,,,,
54,Lead.Author ,Newmark,,,,,,,,
54,Year,2001,,,,,,,,
54,Journal,BTR,,,,,,,,
54,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",ecophysiology,,,,,,,,
54,focal.subject.of.research,abiotic,,,,,,,,
54,biome,tropical.moist.broadleaf.forest,,,,,,,,
54,ecosystem,montane.forest,,,,,,,,
54,Country,Tanzania,,,,,,,,
54,state,NA,,,,,,,,
54,Municipality.1,Amani.Nature.Reserve,,,,,,,,
54,Municipality.2,Ambangulu.Tea.Estate,,,,,,,,
54,field station,NA,,,,,,,,
54,Latitude.1,5°6’S,,,,,,,,
54,Longitude.1,38°36’E,,,,,,,,
54,Latitude.2,5°5’S,,,,,,,,
54,Longitude.2,38°26’E,,,,,,,,
54,habitat.1,forest.edge,,,,,,,,
54,habitat.2,forest.interior,,,,,,,,
54,habitat.3,NA,,,,,,,,
54,replicates.habitat.1,2,,,,,,,,
54,replicates.habitat.2,2,,,,,,,,
54,replicates.habitat.3,NA,,,,,,,,
54,sampling.dist.hab.1,transect,,,,,,,,
54,sampling.dist.hab.2,transect,,,,,,,,
54,sampling.dist.hab.3,NA,,,,,,,,
54,reps.per.dist.1,19,,,,,,,,
54,reps.per.dist.2,19,,,,,,,,
54,reps.per.dist.3,NA,,,,,,,,
54,dist.btwn.pts.1,13m,,,,,,,,
54,dist.btwn.pts.2,13m,,,,,,,,
54,dist.btwn.pts.3,NA,,,,,,,,
54,layout,multiple.perpendicular,,,,,,,,
54,var.1,VPD,,,,,,,,
54,var.2,LUX,,,,,,,,
54,var.3,AT,,,,,,,,
54,var.4,NA,,,,,,,,
54,equip.var.1,thermohygrometer,Oaktron.Instruments,,,,,,,
54,equip.var.2,lux.meter,Extech.Instruments,,,,,,,
54,equip.var.3,thermohygrometer,Oaktron.Instruments,,,,,,,
54,equip.var.4,NA,,,,,,,,
54,start.date,NA,,,,,,,,
54,end.date,NA,,,,,,,,
54,time.var.1,hourly,,,,,,,,
54,time.var.2,hourly,,,,,,,,
54,time.var.3,hourly,,,,,,,,
54,time.var.4,NA,,,,,,,,
54,comparisons,shapes.of.forest.edge.and.interior,,,,,,,,
54,comparisons,change.in.microclimate.from.edge.to.interior,,,,,,,,
54,comparisons,NA,,,,,,,,
54,statistical analysis?,Y,,,,,,,,
54,statistica methods,piecewise.linear.regression,,,,,,,,
54,statistica methods,NA,,,,,,,,
54,statistica methods,NA,,,,,,,,
54,significant differences observed (Y/N),N,,,,,,,,
54,summary of results,low.spatial.high.temporal.variability.for.AT.VPD,,,,,,,,
54,summary of results,high.spatial.and.temporal.variability.for.LUX,,,,,,,,
54,summary of results,NA,,,,,,,,
54,summary of results,NA,,,,,,,,
54,data archived? Y/N,N,,,,,,,,
54,data archive ,NA,,,,,,,,
54,accession number,NA,,,,,,,,
54,was cited before,Y,,,,,,,,
54,citations,37,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
