Article.ID,data column,data,notes,,,,,,,
58,Lead.Author ,Ramos,Carolina,,,,,,,
58,Year,2013,,,,,,,,
58,Journal,RBT,,,,,,,,
58,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",population.ecology,,,,,,,,
58,focal.subject.of.research,plant,,,,,,,,
58,biome,tropical.montane.forest,,,,,,,,
58,ecosystem,NA,,,,,,,,
58,Country,Colombia,,,,,,,,
58,state,NA,,,,,,,,
58,Municipality,Parama.de.la.Rusia,,,,,,,,
58,field station,NA,,,,,,,,
58,Latitude,"5°55’42.37""N",,,,,,,,
58,Longitude,"73°04’52.48""W",,,,,,,,
58,habitat.1,fragment.edge,,,,,,,,
58,habitat.2,fragment.interior,,,,,,,,
58,habitat.3,pasture,,,,,,,,
58,replicates.habitat.1,2,independence.questionable,,,,,,,
58,replicates.habitat.2,2,independence.questionable,,,,,,,
58,replicates.habitat.3,2,independence.questionable,,,,,,,
58,sampling.dist.hab.1,transect,,,,,,,,
58,sampling.dist.hab.2,transect,,,,,,,,
58,sampling.dist.hab.3,transect,,,,,,,,
58,reps.per.dist.1,NA,,,,,,,,
58,reps.per.dist.2,NA,,,,,,,,
58,reps.per.dist.3,NA,,,,,,,,
58,dist.btwn.pts.1,NA,,,,,,,,
58,dist.btwn.pts.2,NA,,,,,,,,
58,dist.btwn.pts.3,NA,,,,,,,,
58,layout,perpendicular,,,,,,,,
58,var.1,AT,,,,,,,,
58,var.2,RH,,,,,,,,
58,var.3,PAR,,,,,,,,
58,var.4,SM,,,,,,,,
58,equip.var.1,digital.thermohygrometer,,,,,,,,
58,equip.var.2,digital.thermohygrometer,,,,,,,,
58,equip.var.3,sensor,Apogee.MQ-100,,,,,,,
58,equip.var.4,drying,,,,,,,,
58,start.date,2011,,,,,,,,
58,end.date,2011,,,,,,,,
58,time.var.1,NA,,,,,,,,
58,time.var.2,NA,,,,,,,,
58,time.var.3,NA,,,,,,,,
58,time.var.4,NA,,,,,,,,
58,comparisons,changes.in.microclimate.from.fragment.to.pasture,,,,,,,,
58,comparisons,NA,,,,,,,,
58,comparisons,NA,,,,,,,,
58,statistical analysis?,Y,,,,,,,,
58,statistica methods,ANOVA,,,,,,,,
58,statistica methods,Kruskal-Wallis.test,,,,,,,,
58,statistica methods,NA,,,,,,,,
58,significant differences observed (Y/N),Y,,,,,,,,
58,summary of results,PAR.AT.lower.RH.higher.at.interior.than.pasture,,,,,,,,
58,summary of results,trees.in.matrix.higher.biomass,,,,,,,,
58,summary of results,NA,,,,,,,,
58,summary of results,NA,,,,,,,,
58,data archived? Y/N,N,,,,,,,,
58,data archive ,NA,,,,,,,,
58,accession number,NA,,,,,,,,
58,was cited before,Y,,,,,,,,
58,citations,5,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
