Article.ID,data column,data,notes,,,,,,,
59,Lead.Author ,Renhorn,,,,,,,,
59,Year,1997,,,,,,,,
59,Journal,OEC,,,,,,,,
59,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",plant.physiology,,,,,,,,
59,focal.subject.of.research,plant,,,,,,,,
59,biome,boreal.forest,,,,,,,,
59,ecosystem,Norway.spruce.forest,,,,,,,,
59,Country,Sweden,,,,,,,,
59,state,Vasterbotten,,,,,,,,
59,Municipality,Svartberget.Experimental.Forest,,,,,,,,
59,field station,NA,,,,,,,,
59,Latitude,64°14’N,,,,,,,,
59,Longitude,19°46’E,,,,,,,,
59,habitat.1,forest.edge,,,,,,,,
59,habitat.2,forest.interior,,,,,,,,
59,habitat.3,NA,,,,,,,,
59,replicates.habitat.1,1,,,,,,,,
59,replicates.habitat.2,1,,,,,,,,
59,replicates.habitat.3,NA,,,,,,,,
59,sampling.dist.hab.1,point,,,,,,,,
59,sampling.dist.hab.2,point,,,,,,,,
59,sampling.dist.hab.3,NA,,,,,,,,
59,reps.per.dist.1,1,,,,,,,,
59,reps.per.dist.2,1,,,,,,,,
59,reps.per.dist.3,NA,,,,,,,,
59,dist.btwn.pts.1,NA,,,,,,,,
59,dist.btwn.pts.2,NA,,,,,,,,
59,dist.btwn.pts.3,NA,,,,,,,,
59,layout,multiple.perpendicular,,,,,,,,
59,var.1,PPFD,,,,,,,,
59,var.2,AT,,,,,,,,
59,var.3,RH,,,,,,,,
59,var.4,NA,,,,,,,,
59,equip.var.1,gallium.arsenide-phosphide.photodiodes,G1125-02.Hamamatsu.Photonics,,,,,,,
59,equip.var.2,probe,Hygromer.MP300.Rotronic.Ag.,logger.CR.10.Cambell.Scientific,,,,,,
59,equip.var.3,probe,Hygromer.MP300.Rotronic.Ag.,logger.CR.10.Cambell.Scientific,,,,,,
59,equip.var.4,NA,,,,,,,,
59,start.date,1993-08-16,,,,,,,,
59,end.date,1994-10-27,,,,,,,,
59,time.var.1,every.1.min,10.min.avg,,,,,,,
59,time.var.2,every.1.min,10.min.avg,,,,,,,
59,time.var.3,every.1.min,10.min.avg,,,,,,,
59,time.var.4,NA,,,,,,,,
59,comparisons,microclimate.differences.related.to.epiphytic.lichen.growth,,,,,,,,
59,comparisons,microclimate.changes.from.edge.to.interior,,,,,,,,
59,comparisons,NA,,,,,,,,
59,statistical analysis?,Y,,,,,,,,
59,statistica methods,ANOVA,,,,,,,,
59,statistica methods,NA,,,,,,,,
59,statistica methods,NA,,,,,,,,
59,significant differences observed (Y/N),Y,,,,,,,,
59,summary of results,PPFD.higher.at.edge,,,,,,,,
59,summary of results,AT.RH.similar.at.edge.and.interior.during.growing.season,,,,,,,,
59,summary of results,NA,,,,,,,,
59,summary of results,NA,,,,,,,,
59,data archived? Y/N,N,,,,,,,,
59,data archive ,NA,,,,,,,,
59,accession number,NA,,,,,,,,
59,was cited before,Y,,,,,,,,
59,citations,110,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
