Article.ID,data column,data,notes,,,,,,,
61,Lead.Author ,Savilaakso,,,,,,,,
61,Year,2009,,,,,,,,
61,Journal,DAD,,,,,,,,
61,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",community.ecology,,,,,,,,
61,focal.subject.of.research,insect,,,,,,,,
61,biome,tropical.rain.forest,,,,,,,,
61,ecosystem,NA,,,,,,,,
61,Country,Uganda,,,,,,,,
61,state,NA,,,,,,,,
61,Municipality,Kibale.National.Park,,,,,,,,
61,field station,NA,,,,,,,,
61,Latitude,0°41’N-0°41’N,,,,,,,,
61,Longitude,30°19’E-30°32’E,,,,,,,,
61,habitat.1,forest.fragment,,,,,,,,
61,habitat.2,continuous.forest,,,,,,,,
61,habitat.3,NA,,,,,,,,
61,replicates.habitat.1,5,,,,,,,,
61,replicates.habitat.2,1,,,,,,,,
61,replicates.habitat.3,NA,,,,,,,,
61,sampling.dist.hab.1,point,,,,,,,,
61,sampling.dist.hab.2,point,,,,,,,,
61,sampling.dist.hab.3,NA,,,,,,,,
61,reps.per.dist.1,10,,,,,,,,
61,reps.per.dist.2,10,,,,,,,,
61,reps.per.dist.3,NA,,,,,,,,
61,dist.btwn.pts.1,random,,,,,,,,
61,dist.btwn.pts.2,random,,,,,,,,
61,dist.btwn.pts.3,NA,,,,,,,,
61,layout,random.point,,,,,,,,
61,var.1,AT,,,,,,,,
61,var.2,RH,,,,,,,,
61,var.3,NA,,,,,,,,
61,var.4,NA,,,,,,,,
61,equip.var.1,datalogger,Hobo.Pro.v2.Onset,,,,,,,
61,equip.var.2,datalogger,Hobo.Pro.v2.Onset,,,,,,,
61,equip.var.3,NA,,,,,,,,
61,equip.var.4,NA,,,,,,,,
61,start.date,2007-08-01,,,,,,,,
61,end.date,2007-08-30,,,,,,,,
61,time.var.1,every.five.minutes,,,,,,,,
61,time.var.2,every.five.minutes,,,,,,,,
61,time.var.3,every.five.minutes,,,,,,,,
61,time.var.4,every.five.minutes,,,,,,,,
61,comparisons,larval.communities.related.to.area.distance.or.microclimate,,,,,,,,
61,comparisons,rates.of.herbivory.in.fragments.related.to.continuous.forest,,,,,,,,
61,comparisons,NA,,,,,,,,
61,comparisons,NA,,,,,,,,
61,statistical analysis?,Y,,,,,,,,
61,statistica methods,Wilcoxon.singed-rank.test,,,,,,,,
61,statistica methods,NA,,,,,,,,
61,statistica methods,NA,,,,,,,,
61,significant differences observed (Y/N),Y,,,,,,,,
61,summary of results,lower.RH.in.fragments,,,,,,,,
61,summary of results,mean.AT.only.significantly.higher.in.fragments.in.afternoon,,,,,,,,
61,summary of results,NA,,,,,,,,
61,summary of results,NA,,,,,,,,
61,data archived? Y/N,N,,,,,,,,
61,data archive ,NA,,,,,,,,
61,accession number,NA,,,,,,,,
61,was cited before,Y,,,,,,,,
61,citations,18,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
