Article.ID,data column,data,notes,,,,,,,
62,Lead.Author ,Silva,IAA,,,,,,,
62,Year,2011,,,,,,,,
62,Journal,BJB,,,,,,,,
62,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",community.ecology,,,,,,,,
62,focal.subject.of.research,plant,,,,,,,,
62,biome,atlantic.forest,,,,,,,,
62,ecosystem,atlantic.forest,,,,,,,,
62,Country,Brazil,,,,,,,,
62,state,Pernambuco,,,,,,,,
62,Municipality,Rio.Formoso,,,,,,,,
62,field station,Jaguarao.Forest,,,,,,,,
62,Latitude,"8°35’49""S",,,,,,,,
62,Longitude,"35°15’39""W",,,,,,,,
62,habitat.1,fragment.edge,,,,,,,,
62,habitat.2,fragment.interior,,,,,,,,
62,habitat.3,NA,,,,,,,,
62,replicates.habitat.1,1,,,,,,,,
62,replicates.habitat.2,1,,,,,,,,
62,replicates.habitat.3,NA,,,,,,,,
62,sampling.dist.hab.1,plots,,,,,,,,
62,sampling.dist.hab.2,plots,,,,,,,,
62,sampling.dist.hab.3,NA,,,,,,,,
62,reps.per.dist.1,3,,,,,,,,
62,reps.per.dist.2,3,,,,,,,,
62,reps.per.dist.3,NA,,,,,,,,
62,dist.btwn.pts.1,NA,,,,,,,,
62,dist.btwn.pts.2,NA,,,,,,,,
62,dist.btwn.pts.3,NA,,,,,,,,
62,layout,fixed.plot,,,,,,,,
62,var.1,AT,,,,,,,,
62,var.2,RH,,,,,,,,
62,var.3,NA,,,,,,,,
62,var.4,NA,,,,,,,,
62,equip.var.1,thermohygrometer,,,,,,,,
62,equip.var.2,thermohygrometer,,,,,,,,
62,equip.var.3,NA,,,,,,,,
62,equip.var.4,NA,,,,,,,,
62,start.date,2006-08-01,,,,,,,,
62,end.date,2007-08-31,,,,,,,,
62,time.var.1,NA,,,,,,,,
62,time.var.2,NA,,,,,,,,
62,time.var.3,NA,,,,,,,,
62,time.var.4,NA,,,,,,,,
62,comparisons,differences.in.microhabitat.between.edge.and.interior,,,,,,,,
62,comparisons,NA,,,,,,,,
62,comparisons,NA,,,,,,,,
62,comparisons,NA,,,,,,,,
62,statistical analysis?,Y,,,,,,,,
62,statistica methods,T.test,,,,,,,,
62,statistica methods,NA,,,,,,,,
62,statistica methods,NA,,,,,,,,
62,significant differences observed (Y/N),Y,,,,,,,,
62,summary of results,lower.AT.higher.RH.at.interior,,,,,,,,
62,summary of results,NA,,,,,,,,
62,summary of results,NA,,,,,,,,
62,summary of results,NA,,,,,,,,
62,data archived? Y/N,N,,,,,,,,
62,data archive ,NA,,,,,,,,
62,accession number,NA,,,,,,,,
62,was cited before,Y,,,,,,,,
62,citations,5,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
