Article.ID,data column,data,notes,,,,,,,
65,Lead.Author ,Van.Wilgenburg,,,,,,,,
65,Year,2001,,,,,,,,
65,Journal,ESC,,,,,,,,
65,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",community.ecology,,,,,,,,
65,focal.subject.of.research,insect,,,,,,,,
65,biome,boreal.forest,,,,,,,,
65,ecosystem,southern.boreal.mixed.wood,,,,,,,,
65,Country,Canada,,,,,,,,
65,state,Saskatchewan,,,,,,,,
65,Municipality.1,Shellbrook,,,,,,,,
65,Municipality.2,Paddockwood,,,,,,,,
65,field station,NA,,,,,,,,
65,Latitude,53°40’N,,,,,,,,
65,Longitude,105°56’W,,,,,,,,
65,habitat.1,forest.edge,,,,,,,,
65,habitat.2,forest.interior,,,,,,,,
65,habitat.3,NA,,,,,,,,
65,replicates.habitat.1,6,,,,,,,,
65,replicates.habitat.2,6,,,,,,,,
65,replicates.habitat.3,NA,,,,,,,,
65,sampling.dist.hab.1,transect,,,,,,,,
65,sampling.dist.hab.2,transect,,,,,,,,
65,sampling.dist.hab.3,NA,,,,,,,,
65,reps.per.dist.1,variable,5.or.8,,,,,,,
65,reps.per.dist.2,variable,5.or.8,,,,,,,
65,reps.per.dist.3,NA,,,,,,,,
65,dist.btwn.pts.1,variable,20m.or.5m.10m.20m.40m.60m.80m.100m.140m,,,,,,,
65,dist.btwn.pts.2,variable,20m.or.5m.10m.20m.40m.60m.80m.100m.140m,,,,,,,
65,dist.btwn.pts.3,NA,,,,,,,,
65,layout,perpendicular,,,,,,,,
65,var.1,AT,,,,,,,,
65,var.2,RH,,,,,,,,
65,var.3,NA,,,,,,,,
65,var.4,NA,,,,,,,,
65,equip.var.1,datalogger,HOBO.Temp.Onset,,,,,,,
65,equip.var.2,datalogger,HOBO.RH,,,,,,,
65,equip.var.3,NA,,,,,,,,
65,equip.var.4,NA,,,,,,,,
65,start.date.1,1997-06-01,,,,,,,,
65,end.date.1,1997-08-31,,,,,,,,
65,start.date.2,1998-06-01,,,,,,,,
65,end.date.2,1998-08-31,,,,,,,,
65,time.var.1,once.every.five.minutes,,,,,,,,
65,time.var.2,once.every.five.minutes,,,,,,,,
65,time.var.3,NA,,,,,,,,
65,time.var.4,NA,,,,,,,,
65,comparisons,differences.edge.and.interior,,,,,,,,
65,comparisons,changes.to.edge.effects.based.on.matrix.type.of.field.or.3.to.5.year.clearcut,,,,,,,,
65,comparisons,NA,,,,,,,,
65,comparisons,NA,,,,,,,,
65,statistical analysis?,Y,,,,,,,,
65,statistica methods,t.test,,,,,,,,
65,statistica methods,NA,,,,,,,,
65,statistica methods,NA,,,,,,,,
65,significant differences observed (Y/N),Y,,,,,,,,
65,summary of results,no.change.between.landscapes,,,,,,,,
65,summary of results,RH.lower.AT.higher.in.edges.at.both.sites,,,,,,,,
65,summary of results,no.overlapping.daily.ranges.of.edge.and.interior.only.in.forestry.landscape,,,,,,,,
65,summary of results,daily.AT.edge.effect.extended.40m.to.60m,,,,,,,,
65,data archived? Y/N,N,,,,,,,,
65,data archive ,NA,,,,,,,,
65,accession number,NA,,,,,,,,
65,was cited before,Y,,,,,,,,
65,citations,26,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
