Article.ID,data column,data,notes,,,,,,,
67,Lead.Author ,Williams-Linera,,,,,,,,
67,Year,1990,,,,,,,,
67,Journal,JE,,,,,,,,
67,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",ecophysiology,,,,,,,,
67,focal.subject.of.research,plant,,,,,,,,
67,biome,tropical.rainforest,,,,,,,,
67,ecosystem,tropical.premontane.wet.forest,,,,,,,,
67,Country,Panama,,,,,,,,
67,state,Panama,,,,,,,,
67,Municipality,El.Llano-Carti.road,,,,,,,,
67,field station,NA,,,,,,,,
67,Latitude,9°15’N-9°18’N,,,,,,,,
67,Longitude,78°55’W-78°58’W,,,,,,,,
67,habitat.1,forest.edge,,,,,,,,
67,habitat.2,pasture,,,,,,,,
67,habitat.3,NA,,,,,,,,
67,replicates.habitat.1,5,,,,,,,,
67,replicates.habitat.2,5,,,,,,,,
67,replicates.habitat.3,NA,,,,,,,,
67,sampling.dist.hab.1,transect,,,,,,,,
67,sampling.dist.hab.2,transect,,,,,,,,
67,sampling.dist.hab.3,NA,,,,,,,,
67,reps.per.dist.1,5,,,,,,,,
67,reps.per.dist.2,3,,,,,,,,
67,reps.per.dist.3,NA,,,,,,,,
67,dist.btwn.pts.1,10m,,,,,,,,
67,dist.btwn.pts.2,10m,,,,,,,,
67,dist.btwn.pts.3,NA,,,,,,,,
67,layout,perpendicular,,,,,,,,
67,var.1,AT,,,,,,,,
67,var.2,RH,,,,,,,,
67,var.3,NA,,,,,,,,
67,var.4,NA,,,,,,,,
67,equip.var.1,thermometer,,,,,,,,
67,equip.var.2,sling.psychrometer,,,,,,,,
67,equip.var.3,NA,,,,,,,,
67,equip.var.4,NA,,,,,,,,
67,start.date,1987-01-01,,,,,,,,
67,end.date,1987-03-31,,,,,,,,
67,time.var.1,three.times.per.week.for.3.weeks,,,,,,,,
67,time.var.2,three.times.per.week.for.3.weeks,,,,,,,,
67,time.var.3,NA,,,,,,,,
67,time.var.4,NA,,,,,,,,
67,comparisons,microclimate.effects.related.to.distance.from.pasture,,,,,,,,
67,comparisons,age.of.edge.impacts.on.edge.effects,,,,,,,,
67,comparisons,relation.of.edge.to.tree.mortality,,,,,,,,
67,comparisons,NA,,,,,,,,
67,statistical analysis?,Y,,,,,,,,
67,statistica methods,ANOVA,,,,,,,,
67,statistica methods,t.test,,,,,,,,
67,statistica methods,piecewise.linear.models,,,,,,,,
67,significant differences observed (Y/N),Y,,,,,,,,
67,summary of results,AT.higher.RH.lower.in.pasture.than.forest,,,,,,,,
67,summary of results,changes.of.microclimate.in.forest.not.significant.after.15m.in,,,,,,,,
67,summary of results,tree.mortality.decreased.with.distance.into.forest,,,,,,,,
67,summary of results,NA,,,,,,,,
67,data archived? Y/N,N,,,,,,,,
67,data archive ,NA,,,,,,,,
67,accession number,NA,,,,,,,,
67,was cited before,Y,,,,,,,,
67,citations,236,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
