Article.ID,data column,data,notes,,,,,,,
69,Lead.Author ,Wright,,,,,,,,
69,Year,2010,,,,,,,,
69,Journal,AFM,,,,,,,,
69,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",ecophysiology,,,,,,,,
69,focal.subject.of.research,abiotic,,,,,,,,
69,biome,temperate.forest,,,,,,,,
69,ecosystem,NA,,,,,,,,
69,Country,Australia,,,,,,,,
69,state,Victoria,,,,,,,,
69,Municipality,Dergholm,,,,,,,,
69,field station,NA,,,,,,,,
69,Latitude,37°22’S,,,,,,,,
69,Longitude,141°13’E,,,,,,,,
69,habitat.1,forest.fragment,,,,,,,,
69,habitat.2,agricultural.edge,,,,,,,,
69,habitat.3,eucalypt.edge,,,,,,,,
69,replicates.habitat.1,6,,,,,,,,
69,replicates.habitat.2,3,,,,,,,,
69,replicates.habitat.3,3,,,,,,,,
69,sampling.dist.hab.1,transect,,,,,,,,
69,sampling.dist.hab.2,transect,,,,,,,,
69,sampling.dist.hab.3,transect,,,,,,,,
69,reps.per.dist.1,9,,,,,,,,
69,reps.per.dist.2,9,,,,,,,,
69,reps.per.dist.3,9,,,,,,,,
69,dist.btwn.pts.1,variable,0m.10m.20m.30m.40m.50m.75m.100m.150m,,,,,,,
69,dist.btwn.pts.2,variable,0m.10m.20m.30m.40m.50m.75m.100m.150m,,,,,,,
69,dist.btwn.pts.3,variable,0m.10m.20m.30m.40m.50m.75m.100m.150m,,,,,,,
69,layout,perpendicular,,,,,,,,
69,var.1,AT,,,,,,,,
69,var.2,RH,,,,,,,,
69,var.3,PAR,,,,,,,,
69,var.4,WS,,,,,,,,
69,var.5,VPD,,,,,,,,
69,equip.var.1,datalogger,HOBO.Onset,,,,,,,
69,equip.var.2,datalogger,HOBO.Onset,,,,,,,
69,equip.var.3,hemispheric.photographs,,,,,,,,
69,equip.var.4,datalogger,HOBO.Onset,,,,,,,
69,equip.var.5,AT.and.RH,,,,,,,,
69,start.date.1,2007-08-20,,,,,,,,
69,end.date.1,2007-08-25,,,,,,,,
69,start.date.2,2008-01-21,,,,,,,,
69,end.date.2,2008-01-26,,,,,,,,
69,time.var.1,every.10s,,,,,,,,
69,time.var.2,every.10s,,,,,,,,
69,time.var.3,NA,,,,,,,,
69,time.var.4,every.10s,,,,,,,,
69,time.var.5,NA,,,,,,,,
69,comparisons,microclimate.differences.between.eucalypt.and.agricultural.edges,,,,,,,,
69,comparisons,extent.of.edge.influence.by.edge.type,,,,,,,,
69,comparisons,NA,,,,,,,,
69,comparisons,NA,,,,,,,,
69,statistical analysis?,Y,,,,,,,,
69,statistica methods,ANOVA,,,,,,,,
69,statistica methods,GLM.repeated.measures,,,,,,,,
69,statistica methods,stepwise.multiple.linear.regression,,,,,,,,
69,significant differences observed (Y/N),Y,,,,,,,,
69,summary of results,AT.VPD.higher.at.eucalypt.edges.generally.but.lower.during.non-winter.days,,,,,,,,
69,summary of results,AT.VPD.depth.of.influence.40-50m,,,,,,,,
69,summary of results,lower.magnitude.of.edge.influence.than.cool-temperate.rainforests,,,,,,,,
69,summary of results,increased.WS.in.winter.into.woodland.from.ag.edge,,,,,,,,
69,data archived? Y/N,fragment.interiors.higher.AT.lower.RH.than.edges,,,,,,,,
69,data archive ,N,,,,,,,,
69,accession number,NA,,,,,,,,
69,was cited before,Y,,,,,,,,
69,citations,18,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
