Article.ID,data column,data,notes,,,,,,,
70,Lead.Author ,Ylisirnio,,,,,,,,
70,Year,2016,,,,,,,,
70,Journal,FEM,,,,,,,,
70,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",community.ecology,,,,,,,,
70,focal.subject.of.research,plant,,,,,,,,
70,biome,boreal.forest,,,,,,,,
70,ecosystem,spruce.forest,,,,,,,,
70,Country,Finland,,,,,,,,
70,state,NA,,,,,,,,
70,Municipality,Taivalkoski,,,,,,,,
70,field station,NA,,,,,,,,
70,Latitude,NA,,,,,,,,
70,Longitude,NA,,,,,,,,
70,habitat.1,continuous.forest,,,,,,,,
70,habitat.2,small.fragment,,,,,,,,
70,habitat.3,medium.fragment,,,,,,,,
70,habitat.4,large.fragment,,,,,,,,
70,habitat.5,clearcut.regen.matrix,,,,,,,,
70,replicates.habitat.1,6,,,,,,,,
70,replicates.habitat.2,11,,,,,,,,
70,replicates.habitat.3,5,,,,,,,,
70,replicates.habitat.4,4,,,,,,,,
70,replicates.habitat.5,11,,,,,,,,
70,sampling.dist.hab.1,transect,,,,,,,,
70,sampling.dist.hab.2,plots,,,,,,,,
70,sampling.dist.hab.3,plots,,,,,,,,
70,sampling.dist.hab.4,plots,,,,,,,,
70,sampling.dist.hab.5,transect,,,,,,,,
70,reps.per.dist.1,20,,,,,,,,
70,reps.per.dist.2,variable,1.to.8,,,,,,,
70,reps.per.dist.3,variable,1.to.8,,,,,,,
70,reps.per.dist.4,variable,1.to.8,,,,,,,
70,reps.per.dist.5,5,,,,,,,,
70,dist.btwn.pts.1,10m,,,,,,,,
70,dist.btwn.pts.2,variable,,,,,,,,
70,dist.btwn.pts.3,variable,,,,,,,,
70,dist.btwn.pts.4,variable,,,,,,,,
70,dist.btwn.pts.5,10m,,,,,,,,
70,layout,perpendicular,,,,,,,,
70,var.1,AT,,,,,,,,
70,var.2,RH,,,,,,,,
70,var.3,NA,,,,,,,,
70,var.4,NA,,,,,,,,
70,var.5,NA,,,,,,,,
70,equip.var.1,humidity.and.temperature.meter.Vaisala.HM34,,,,,,,,
70,equip.var.2,humidity.and.temperature.meter.Vaisala.HM34,,,,,,,,
70,equip.var.3,NA,,,,,,,,
70,equip.var.4,NA,,,,,,,,
70,equip.var.5,NA,,,,,,,,
70,start.date,NA,,,,,,,,
70,end.date,NA,,,,,,,,
70,time.var.1,once.per.point,,,,,,,,
70,time.var.2,once.per.point,,,,,,,,
70,time.var.3,once.per.point,,,,,,,,
70,time.var.4,once.per.point,,,,,,,,
70,time.var.5,once.per.point,,,,,,,,
70,comparisons,effect.of.fragment.size.on.microclimate,,,,,,,,
70,comparisons,depth.of.edge.influence,,,,,,,,
70,comparisons,NA,,,,,,,,
70,comparisons,NA,,,,,,,,
70,statistical analysis?,Y,,,,,,,,
70,statistica methods,ANOVA,,,,,,,,
70,statistica methods,generalized.additive.models,,,,,,,,
70,statistica methods,permutation.tests,,,,,,,,
70,significant differences observed (Y/N),Y,,,,,,,,
70,summary of results,RH.lowest.in.small.fragments.compared.to.controls,,,,,,,,
70,summary of results,large.fragments.most.different.from.clearcut,,,,,,,,
70,summary of results,no.AT.change.lower.RH.from.edge.to.interior.of.control.sites,,,,,,,,
70,summary of results,NA,,,,,,,,
70,data archived? Y/N,N,,,,,,,,
70,data archive ,NA,,,,,,,,
70,accession number,NA,,,,,,,,
70,was cited before,N,,,,,,,,
70,citations,NA,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
