Article.ID,data column,data,notes,,,,,,,
71,Lead.Author ,Young,,,,,,,,
71,Year,1994,,,,,,,,
71,Journal,BC,,,,,,,,
71,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",ecophysiology,,,,,,,,
71,focal.subject.of.research,abiotic,,,,,,,,
71,biome,temperate.broadleaf.forest,,,,,,,,
71,ecosystem,mixed.podocarp.broadleaf.forest,,,,,,,,
71,Country,New.Zealand,,,,,,,,
71,state,Northland,,,,,,,,
71,Municipality,Rodney.Ecological.District,,,,,,,,
71,field station,NA,,,,,,,,
71,Latitude,NA,,,,,,,,
71,Longitude,NA,,,,,,,,
71,habitat.1,fragment.edge,,,,,,,,
71,habitat.2,fragment.interior,,,,,,,,
71,habitat.3,pasture,,,,,,,,
71,replicates.habitat.1,5,,,,,,,,
71,replicates.habitat.2,5,,,,,,,,
71,replicates.habitat.3,10,,,,,,,,
71,sampling.dist.hab.1,transect,,,,,,,,
71,sampling.dist.hab.2,transect,,,,,,,,
71,sampling.dist.hab.3,transect,,,,,,,,
71,reps.per.dist.1,variable,,,,,,,,
71,reps.per.dist.2,variable,,,,,,,,
71,reps.per.dist.3,variable,,,,,,,,
71,dist.btwn.pts.1,10m,,,,,,,,
71,dist.btwn.pts.2,50m,,,,,,,,
71,dist.btwn.pts.3,10m,,,,,,,,
71,layout,perpendicular,,,,,,,,
71,var.1,AT,,,,,,,,
71,var.2,VPD,,,,,,,,
71,var.3,PAR,,,,,,,,
71,var.4,RH,,,,,,,,
71,var.5,NA,,,,,,,,
71,equip.var.1,thermohygrometer,Hanna.HI.8564.Hanna.Instruments,,,,,,,
71,equip.var.2,AT.and.RH,,,,,,,,
71,equip.var.3,photochemical.light.meter,,,,,,,,
71,equip.var.4,thermohygrometer,Hanna.HI.8564.Hanna.Instruments,,,,,,,
71,equip.var.5,NA,,,,,,,,
71,start.date.1,1987-03-01,,,,,,,,
71,end.date.1,1987-03-31,,,,,,,,
71,start.date.2,1987-09-01,,,,,,,,
71,end.date.2,1987-09-30,,,,,,,,
71,time.var.1,once.per.transect,,,,,,,,
71,time.var.2,once.per.transect,,,,,,,,
71,time.var.3,NA,,,,,,,,
71,time.var.4,NA,,,,,,,,
71,time.var.5,NA,,,,,,,,
71,comparisons,microclimate.differences.between.edge.and.interior,,,,,,,,
71,comparisons,edge.effects.changes.with.fragment.size,,,,,,,,
71,comparisons,edge.effects.changes.with.orientation,,,,,,,,
71,comparisons,NA,,,,,,,,
71,statistical analysis?,Y,,,,,,,,
71,statistica methods,deviations.from.mean.of.margin.values,,,,,,,,
71,statistica methods,NA,,,,,,,,
71,statistica methods,NA,,,,,,,,
71,significant differences observed (Y/N),Y,,,,,,,,
71,summary of results,PAR.stabilized.after.10m.into.forest,,,,,,,,
71,summary of results,PAR.higher.at.N.than.S.edge,,,,,,,,
71,summary of results,AT.VPD.stabilized.after.50m,,,,,,,,
71,summary of results,winter.saw.breakdown.of.microclimate.gradients,,,,,,,,
71,summary of results,N.edges.lacked.AT.VPD.gradients,,,,,,,,
71,data archived? Y/N,N,,,,,,,,
71,data archive ,NA,,,,,,,,
71,accession number,NA,,,,,,,,
71,was cited before,Y,,,,,,,,
71,citations,159,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
