Article.ID,data column,data,notes,
11,Lead.Author ,Silva,Valeria,
11,Year,2010,,
11,Journal,CBS,,
11,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",ecophysiology,,
11,focal.subject.of.research,abiotic,,
11,biome,Semideciduous.tropical.forest,,
11,ecosystem,araucaria.forest,,
11,Country,Brazil,,
11,state,PR,,
11,Municipality,Telêmaco.Borba,,
11,field station,Ecological.park.of.klabin,,
11,Latitude,24°17’S,,
11,Longitude,50°35’W,,
11,habitat.1,Fragment.of.secondary.forest,,
11,habitat.2,abandoned.area.of.eucalyptus.reforestation,,
11,replicates.habitat.1,4,,
11,replicates.habitat.2,4,,
11,sampling.dist.hab1,transect,,
11,sampling.dist.hab2,transect,,
11,reps.per.dist.1,NA,,
11,reps.per.dist.2,NA,,
11,dist.btwn.pts.1,NA,,
11,dist.btwn.pts.2,NA,,
11,layout,perpendicular,,
11,var.1,AT,air.temperature,
11,var.2,RH,relative.humidity,
11,equip.var.1,Data-logger,,
11,equip.var.2,Data-logger,,
11,start.date,2008-03-10,starting.at.6pm,
11,end.date,2008-03-14,ending.at.10am,
11,time.var.1,1.measurement.per.hour,,
11,time.var.2,1.measurement.per.hour,,
11,comparisons,Comparison.between.two.different.forest.formations,,
11,statistical analysis?,N,,
11,statistica methods,NA,,
11,significant differences observed (Y/N),N,,
11,summary of results,forest.structure.is.not.different.between.the.areas,,
11,summary of results,the.results.for.humidity.and.temperature.did.not.follow.the.normal.patterns,,
11,data archived? Y/N,N,,
11,data archive ,NA,,
11,accession number,NA,,
11,was cited before,Y,,
11,citations,3,,
