Article.ID,data column,data,notes
14,Lead.Author ,Stevens,
14,Year,1997,
14,Journal,BC,
14,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",community.ecology,
14,focal.subject.of.research,mammal,
14,biome,Atlantic.Forest,
14,ecosystem,tracts.of.atlantic.Forest,
14,Country,Brazil,
14,state,Sergipe,
14,Municipality,Estancia,
14,field station,NA,
14,Latitude,11°15’S,
14,Longitude,37°25’W,
14,habitat.1,forest.fragment.surrounded.by.public.road.and.farmland,
14,habitat.2,forest.fragment.surrounded.by.pasture,
14,replicates.habitat.1,6,
14,replicates.habitat.2,6,
14,sampling.dist.hab1,transect,
14,sampling.dist.hab2,transect,
14,reps.per.dist.1,10,
14,reps.per.dist.2,5,
14,dist.btwn.pts.1,20m,
14,dist.btwn.pts.2,20m,
14,layout,perpendicular,
14,var.1,AT,air.temperature
14,var.2,RH,relative.humidity
14,var.3,ST,soil.temperature
14,equip.var.1,Protimeter.digital.Hygrometer,
14,equip.var.2,Protimeter.digital.Hygrometer,
14,equip.var.3,Taylor.digital.thermometer,
14,start.date,NA,
14,end.date,NA,
14,time.var.1,one.per.day,
14,time.var.2,one.per.day,
14,time.var.3,one.per.day,
14,comparisons,Small.mammal.diversity.in.relation.to.distance.from.the.forest.edge.in.two.fragments.of.atlantic.forest,
14,statistical analysis?,NA,
14,statistica methods,NA,
14,significant differences observed (Y/N),N,
14,summary of results,RH.increase.significantly.inside.the.forest,
14,summary of results,AT.decrease.significantly.inside.the.forest,
14,summary of results,both.number.of.species.and.diversity.increase.inside.the.forest,
14,data archived? Y/N,N,
14,data archive ,N,
14,accession number,NA,
14,was cited before,Y,
14,citations,79,
