Article.ID,data column,data,notes
17,Lead.Author ,Bueno,
17,Year,2015,
17,Journal,AVS,Applied.vegetation.science
17,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",ecophysiology,
17,focal.subject.of.research,plant,
17,biome,High.Andean.Forest,
17,ecosystem,mosaic.landscape.in.different.successional.stages,surrounded.by.relictual.high.Andean.Forest
17,Country,Venezuela,
17,state,NA,
17,Municipality,Merida,
17,field station,SNNP,Sierra.Nevada.National.Park
17,Latitude,8°35’-8°45’ N,
17,Longitude,70°52’-70°57’W,
17,habitat.1,Fallow.field,
17,habitat.2,NA,
17,replicates.habitat.1,2,
17,replicates.habitat.2,NA,
17,sampling.dist.hab1,NA,
17,sampling.dist.hab2,NA,
17,reps.per.dist.1,NA,
17,reps.per.dist.2,NA,
17,dist.btwn.pts.1,NA,
17,dist.btwn.pts.2,NA,
17,layout,NA,
17,var.1,ST,
17,var.2,NA,
17,var.3,NA,
17,equip.var.1,HOBO.onset.Tidbit.v.2,
17,equip.var.2,NA,
17,equip.var.3,NA,
17,start.date,2013-05-01,
17,end.date,2013-07-01,
17,time.var.1,every.15.min.during.1.month,Jul.2013
17,time.var.2,NA,
17,time.var.3,NA,
17,comparisons,interactions.btw.facilitation.and.EE.on.vegetation.regeneration,
17,comparisons,influence.of.distance.from.border.in.the.community.structure,
17,comparisons,NA,
17,statistical analysis?,Y,
17,statistica methods,Permanova.plus.for.primer6point0,
17,significant differences observed (Y/N),Y,
17,summary of results,Average.temperature.and.maxima.were.lowest.under.the.canopy.close.to.border.and.highest.in.open.space,
17,summary of results,Thermal.amplitude.was.lowest.under.canopy.and.near.border.and.highest.in.open.space,
17,summary of results,Site1.there.was.no.significant.different.btw.near.and.far.from.the.border,
17,summary of results,Site2.cover.was.significantly.higher.near.to.border.compared.to.far.from.the.border,
17,summary of results,No.significant.difference.in.litter.cover,
17,data archived? Y/N,N,
17,data archive ,N,
17,accession number,NA,
17,was cited before,Y,
17,citations,2,
