Article.ID,data column,data,notes,,,
22,Lead.Author ,Turton,,,,
22,Year,1997,,,,
22,Journal,TFR,Tropical.Forest.Remnants,,,
22,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",ecophysiology,,,,
22,focal.subject.of.research,abiotic,,,,
22,biome,Moist.broadleaf.forest,,,,
22,ecosystem,lowland.rainforest,,,,
22,Country,Australia,,,,
22,state,NA,,,,
22,Municipality,Atherton.Tableland,,,,
22,field station,NA,,,,
22,Latitude,17°22’S,,,,
22,Longitude,145°35’E,,,,
22,habitat.1,Fragment,,,,
22,habitat.2,outside.the.remnant,,,,
22,replicates.habitat.1,1,,,,
22,replicates.habitat.2,1,5m.outside.the.fragment,,,
22,sampling.dist.hab1,transects,oriented.along.N-S.and.E-W.gradients,,,
22,sampling.dist.hab2,transects,,,,
22,reps.per.dist.1,9,different.positions.inside.the.forest,,,
22,reps.per.dist.2,1,5m.outside.the.fragment,,,
22,dist.btwn.pts.1,10m,,,,
22,dist.btwn.pts.2,NA,,,,
22,layout,mixed.orientation,,,,
22,var.1,ST,3.depths,3.depths,,
22,var.2,AT,at.two.levels,,,
22,var.3,VPD,at.two.levels,,,
22,equip.var.1,digital.probes,,,,
22,equip.var.2,Aspirated.hygrometer,wet.and.dry.bulb.temperatures,,,
22,equip.var.3,Aspirated.hygrometer,,,,
22,start.date.1,1995-01-11,end.of.the.dry.season.and.beginning.of.wet.season,,,
22,end.date.1,1995-01-18,,,,
22,start.date.2,1995-02-07,,,,
22,end.date.2,1995-02-14,,,,
22,time.var.1,twice.daily.for.eight.consecutive.days,,,,
22,time.var.2,twice.daily.for.eight.consecutive.days,,,,
22,time.var.3,twice.daily.for.eight.consecutive.days,,,,
22,comparisons,Quantify.microclimatic.gradientes.along.edge.to.interior.transects.under.dry.and.wet.conditions,,,,
22,comparisons,compare.distances.towhich.EE.penetrate.into.the.remnant.among.edges,,,,
22,comparisons,determine.whether.seedling.densities.vary.with.distance.from.edge.and.edge.aspect,,,,
22,statistical analysis?,Y,,,,
22,statistica methods,ANOVA,,,,
22,significant differences observed (Y/N),Y,,,,
22,summary of results,ST>near.the.edge.but.tended.to.stabilize.within.30m.of.the.edge,,,,
22,summary of results,Surface.temp.was.warmer.under.wet.than.under.dry.conditions,,,,
22,summary of results,ambiente.temp.at.20cm.were.similar.under.dry.and.wet.conditions,,,,
22,summary of results,VPD.at.20cm.was.significantly.higher.under.dry.conditions,,,,
22,summary of results,but.VPD.increased.toward.the.edge.under.both.dry.and.wet.conditions,,,,
22,data archived? Y/N,N,,,,
22,data archive ,N,,,,
22,accession number,NA,,,,
22,was cited before,Y,,,,
22,citations,61,,,,
