Article.ID,data column,data,notes
23,Lead.Author ,baker,
23,Year,2014,
23,Journal,FEM,
23,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",Ecophysiology,
23,focal.subject.of.research,abiotic,
23,biome,Tasmania.temperate.forests,
23,ecosystem,Mature.forest,
23,Country,Australia,
23,state,Tasmania,
23,Municipality,NA,
23,field station,NA,
23,Latitude,NA,
23,Longitude,NA,
23,habitat.1,Mature.forest.adjacent.to.forest.renegerating,
23,habitat.2,regenerating.forest,
23,replicates.habitat.1,15,in.three.age.classes
23,replicates.habitat.2,15,
23,sampling.dist.hab1,transect,
23,sampling.dist.hab2,transect,
23,points.per.replicate.hab1,7,in.mature.and.regenerating.forest
23,points.per.replicate.hab2,NA ,
23,dist.btwn.pts.1,variable,-35m.-15m
23,dist.btwn.pts.2,variable,15m.35m.70m.120m.200m
23,layout,transect,
23,var.1,AT,
23,var.2,RH,
23,var.3,VPD,
23,var.4,WS,wind.speed
23,equip.var.1,HOBO.U23.pro.V2,
23,equip.var.2,HOBO.U23.pro.V3,
23,equip.var.3,T.and.Rh,
23,equip.var.4,calculated.from.automatic.weather.station.data,
23,start.date,NA,Due.to.deployment.data.was.only.partially.collected.for.the.months.of.December2011.May2012.and.december.2012
23,end.date,NA,
23,time.var.1,every.30min,
23,time.var.2,every.30min,
23,time.var.3,NA,
23,time.var.4,NA,
23,comparisons,Whether.microclimate.within.a.regenerating.forest.changes.with.increasing.distance.from.a.mature.forest.edge,
23,comparisons,whether.the.manitude.of.microclimatic.change.varies.over.diurnal.seasonal and successional.time.scales,
23,comparisons,NA,
23,statistical analysis?,Y,
23,statistica methods,ANOVA,run.separately.for.each.metric
23,significant differences observed (Y/N),Y,
23,summary of results,Microclimate.of.regenerating.forests.is.affected.by.the.distance.to.a.standing.mature.forest,
23,summary of results,T.RH.VPD.were influenced.by.nearby.mature.forest,
23,summary of results,Influence.of.forest.changes.over.diurnal.seasonal.and.successional.time.scales,
23,summary of results,NA,
23,summary of results,NA,
23,data archived? Y/N,N,
23,data archive ,N,
23,accession number,NA,
23,was cited before,Y,
23,citations,11,
